size 774 774 2
cell 0 1 blue
cell 0 2 blue
cell 0 3 red
cell 4 5 red
cell 6 7 red
cell 8 9 blue
cell 10 5 red
cell 11 12 red
cell 13 12 red
cell 14 8 blue
cell 14 12 red
cell 15 16 blue
cell 15 17 blue
cell 15 18 blue
cell 15 19 blue
cell 15 20 blue
cell 15 21 blue
cell 15 22 blue
cell 15 23 blue
cell 15 24 blue
cell 15 25 blue
cell 15 26 blue
cell 15 27 blue
cell 15 28 blue
cell 15 29 blue
cell 30 31 blue
cell 32 33 blue
cell 32 34 blue
cell 32 20 blue
cell 32 35 blue
cell 32 9 blue
cell 32 36 blue
cell 32 37 red
cell 38 12 red
cell 39 19 blue
cell 39 40 blue
cell 39 20 blue
cell 39 41 blue
cell 39 42 red
cell 43 20 blue
cell 43 44 blue
cell 43 45 blue
cell 43 46 blue
cell 47 12 red
cell 48 12 red
cell 49 12 red
cell 50 12 red
cell 51 35 blue
cell 51 12 red
cell 52 12 red
cell 53 12 red
cell 54 17 blue
cell 54 55 blue
cell 54 56 blue
cell 54 57 blue
cell 54 58 blue
cell 54 59 blue
cell 54 20 blue
cell 54 60 blue
cell 54 61 blue
cell 54 62 blue
cell 54 63 blue
cell 54 64 blue
cell 54 65 blue
cell 54 9 blue
cell 54 66 blue
cell 54 36 blue
cell 67 20 blue
cell 67 10 blue
cell 67 63 blue
cell 67 65 blue
cell 67 68 blue
cell 67 69 red
cell 70 20 blue
cell 70 10 blue
cell 70 64 blue
cell 70 65 blue
cell 70 71 blue
cell 70 72 red
cell 73 12 red
cell 74 75 blue
cell 74 27 blue
cell 74 76 blue
cell 77 34 blue
cell 77 20 blue
cell 77 21 blue
cell 77 37 red
cell 78 12 red
cell 79 35 blue
cell 79 12 red
cell 80 12 red
cell 81 12 red
cell 82 34 blue
cell 82 17 blue
cell 82 65 blue
cell 83 1 blue
cell 83 20 blue
cell 84 33 blue
cell 84 75 blue
cell 84 20 blue
cell 84 85 blue
cell 84 27 blue
cell 84 86 blue
cell 84 87 red
cell 88 20 blue
cell 19 34 blue
cell 19 20 blue
cell 89 33 blue
cell 89 19 blue
cell 89 85 blue
cell 89 42 red
cell 16 23 blue
cell 16 90 blue
cell 91 92 red
cell 93 19 blue
cell 93 20 blue
cell 94 19 blue
cell 94 20 blue
cell 94 9 blue
cell 94 36 blue
cell 94 95 red
cell 96 97 red
cell 98 99 blue
cell 98 1 blue
cell 98 2 blue
cell 98 100 blue
cell 98 101 red
cell 102 103 blue
cell 102 104 blue
cell 102 105 red
cell 102 106 red
cell 107 99 blue
cell 107 1 blue
cell 107 2 blue
cell 107 100 blue
cell 107 104 blue
cell 107 101 red
cell 108 109 blue
cell 108 97 red
cell 108 110 red
cell 111 99 blue
cell 111 1 blue
cell 111 2 blue
cell 111 100 blue
cell 111 109 blue
cell 111 101 red
cell 112 104 blue
cell 112 113 red
cell 112 106 red
cell 114 115 red
cell 116 99 blue
cell 116 1 blue
cell 116 2 blue
cell 116 100 blue
cell 116 101 red
cell 117 118 red
cell 119 19 blue
cell 119 20 blue
cell 120 19 blue
cell 120 20 blue
cell 120 9 blue
cell 120 36 blue
cell 120 95 red
cell 121 99 blue
cell 121 1 blue
cell 121 2 blue
cell 121 100 blue
cell 121 101 red
cell 122 123 blue
cell 122 92 red
cell 124 19 blue
cell 124 20 blue
cell 125 19 blue
cell 125 20 blue
cell 125 9 blue
cell 125 36 blue
cell 125 95 red
cell 126 99 blue
cell 126 1 blue
cell 126 2 blue
cell 126 100 blue
cell 126 101 red
cell 127 92 red
cell 128 19 blue
cell 128 20 blue
cell 129 19 blue
cell 129 20 blue
cell 129 9 blue
cell 129 36 blue
cell 129 95 red
cell 130 99 blue
cell 130 1 blue
cell 130 2 blue
cell 130 100 blue
cell 130 101 red
cell 131 132 blue
cell 131 133 red
cell 131 134 red
cell 135 106 red
cell 136 110 red
cell 137 138 red
cell 139 137 blue
cell 139 92 red
cell 139 140 red
cell 141 99 blue
cell 141 1 blue
cell 141 2 blue
cell 141 100 blue
cell 141 101 red
cell 142 143 blue
cell 142 97 red
cell 142 144 red
cell 145 99 blue
cell 145 1 blue
cell 145 2 blue
cell 145 100 blue
cell 145 101 red
cell 75 135 blue
cell 75 146 red
cell 75 138 red
cell 147 99 blue
cell 147 1 blue
cell 147 2 blue
cell 147 100 blue
cell 147 101 red
cell 148 97 red
cell 149 99 blue
cell 149 1 blue
cell 149 2 blue
cell 149 100 blue
cell 149 101 red
cell 150 103 blue
cell 150 135 blue
cell 150 136 blue
cell 150 151 blue
cell 150 105 red
cell 150 152 red
cell 150 138 red
cell 150 153 red
cell 154 99 blue
cell 154 1 blue
cell 154 2 blue
cell 154 100 blue
cell 154 151 blue
cell 154 101 red
cell 155 103 blue
cell 155 35 blue
cell 155 60 blue
cell 155 105 red
cell 156 19 blue
cell 156 20 blue
cell 157 19 blue
cell 157 20 blue
cell 157 9 blue
cell 157 36 blue
cell 157 95 red
cell 158 99 blue
cell 158 1 blue
cell 158 2 blue
cell 158 100 blue
cell 158 35 blue
cell 158 101 red
cell 159 160 blue
cell 159 2 blue
cell 159 91 blue
cell 159 161 blue
cell 159 94 blue
cell 159 162 red
cell 163 2 blue
cell 163 91 blue
cell 163 113 red
cell 164 2 blue
cell 164 161 blue
cell 164 94 blue
cell 164 65 blue
cell 164 9 blue
cell 164 165 red
cell 166 160 blue
cell 166 2 blue
cell 166 96 blue
cell 166 98 blue
cell 166 102 blue
cell 166 167 red
cell 168 2 blue
cell 168 96 blue
cell 168 98 blue
cell 168 169 red
cell 170 2 blue
cell 170 98 blue
cell 170 102 blue
cell 170 65 blue
cell 170 171 red
cell 172 160 blue
cell 172 2 blue
cell 172 102 blue
cell 172 107 blue
cell 172 173 blue
cell 172 104 blue
cell 172 174 blue
cell 172 175 red
cell 176 2 blue
cell 176 102 blue
cell 176 107 blue
cell 176 177 red
cell 178 2 blue
cell 178 107 blue
cell 178 173 blue
cell 178 104 blue
cell 178 179 blue
cell 178 65 blue
cell 178 180 red
cell 181 160 blue
cell 181 2 blue
cell 181 108 blue
cell 181 111 blue
cell 181 59 blue
cell 181 173 blue
cell 181 109 blue
cell 181 167 red
cell 182 2 blue
cell 182 108 blue
cell 182 111 blue
cell 182 183 red
cell 184 2 blue
cell 184 111 blue
cell 184 59 blue
cell 184 173 blue
cell 184 109 blue
cell 184 65 blue
cell 184 171 red
cell 185 160 blue
cell 185 2 blue
cell 185 112 blue
cell 185 155 blue
cell 185 104 blue
cell 185 186 red
cell 187 2 blue
cell 187 112 blue
cell 187 188 red
cell 189 2 blue
cell 189 155 blue
cell 189 104 blue
cell 189 65 blue
cell 189 190 red
cell 191 160 blue
cell 191 2 blue
cell 191 114 blue
cell 191 116 blue
cell 191 192 red
cell 193 2 blue
cell 193 114 blue
cell 193 116 blue
cell 193 194 red
cell 195 160 blue
cell 195 2 blue
cell 195 117 blue
cell 195 196 blue
cell 195 120 blue
cell 195 121 blue
cell 195 197 red
cell 198 2 blue
cell 198 117 blue
cell 198 121 blue
cell 198 199 red
cell 200 2 blue
cell 200 196 blue
cell 200 120 blue
cell 200 121 blue
cell 200 65 blue
cell 200 9 blue
cell 200 201 red
cell 202 2 blue
cell 202 116 blue
cell 202 65 blue
cell 202 203 red
cell 204 160 blue
cell 204 2 blue
cell 204 122 blue
cell 204 205 blue
cell 204 125 blue
cell 204 126 blue
cell 204 123 blue
cell 204 162 red
cell 206 2 blue
cell 206 122 blue
cell 206 126 blue
cell 206 207 red
cell 208 2 blue
cell 208 205 blue
cell 208 125 blue
cell 208 126 blue
cell 208 123 blue
cell 208 65 blue
cell 208 9 blue
cell 208 165 red
cell 209 160 blue
cell 209 2 blue
cell 209 127 blue
cell 209 210 blue
cell 209 129 blue
cell 209 130 blue
cell 209 162 red
cell 211 2 blue
cell 211 127 blue
cell 211 130 blue
cell 211 212 red
cell 213 2 blue
cell 213 210 blue
cell 213 129 blue
cell 213 130 blue
cell 213 65 blue
cell 213 9 blue
cell 213 165 red
cell 214 160 blue
cell 214 2 blue
cell 214 55 blue
cell 214 131 blue
cell 214 56 blue
cell 214 215 blue
cell 214 132 blue
cell 214 216 red
cell 217 2 blue
cell 217 131 blue
cell 217 218 red
cell 219 2 blue
cell 219 55 blue
cell 219 56 blue
cell 219 215 blue
cell 219 132 blue
cell 219 65 blue
cell 219 220 red
cell 221 160 blue
cell 221 2 blue
cell 221 139 blue
cell 221 141 blue
cell 221 155 blue
cell 221 222 blue
cell 221 137 blue
cell 221 162 red
cell 223 2 blue
cell 223 139 blue
cell 223 141 blue
cell 223 224 red
cell 225 2 blue
cell 225 141 blue
cell 225 155 blue
cell 225 222 blue
cell 225 137 blue
cell 225 65 blue
cell 225 165 red
cell 226 160 blue
cell 226 2 blue
